product_display,expire_date,contract_dt
VX+VXT17/J7,2017-04-26,2017-04-26
VX+VXT18/K7,2017-05-03,2017-05-03
VX+VXT19/K7,2017-05-10,2017-05-10
VX+VXT21/K7,2017-05-24,2017-05-24
VX+VXT22/K7,2017-05-31,2017-05-31
VX+VXT23/M7,2017-06-07,2017-06-07
VX+VXT24/M7,2017-06-14,2017-06-14
VX+VXT26/M7,2017-06-28,2017-06-28
VX+VXT27/N7,2017-07-05,2017-07-05
VX+VXT28/N7,2017-07-12,2017-07-12
VX+VXT30/N7,2017-07-26,2017-07-26
VX+VXT31/Q7,2017-08-02,2017-08-02
VX+VXT32/Q7,2017-08-09,2017-08-09
VX+VXT34/Q7,2017-08-23,2017-08-23
VX+VXT35/Q7,2017-08-30,2017-08-30
VX+VXT36/U7,2017-09-06,2017-09-06
VX+VXT37/U7,2017-09-13,2017-09-13
VX+VXT39/U7,2017-09-27,2017-09-27
VX+VXT40/V7,2017-10-04,2017-10-04
VX+VXT41/V7,2017-10-11,2017-10-11
VX+VXT43/V7,2017-10-25,2017-10-25
VX+VXT44/X7,2017-11-01,2017-11-01
VX+VXT45/X7,2017-11-08,2017-11-08
VX+VXT47/X7,2017-11-22,2017-11-22
VX+VXT48/X7,2017-11-29,2017-11-29
VX+VXT49/Z7,2017-12-06,2017-12-06
VX+VXT50/Z7,2017-12-13,2017-12-13
VX+VXT52/Z7,2017-12-27,2017-12-27
VX+VXT/F8,2018-01-17,2018-01-17
VX+VXT/G8,2018-02-14,2018-02-14
VX+VXT/H8,2018-03-21,2018-03-21
VX+VXT/J8,2018-04-18,2018-04-18
VX+VXT/K8,2018-05-16,2018-05-16
VX+VXT/M8,2018-06-20,2018-06-20
VX+VXT/N8,2018-07-18,2018-07-18
VX+VXT/Q8,2018-08-22,2018-08-22
VX+VXT/U8,2018-09-19,2018-09-19
VX+VXT/V8,2018-10-17,2018-10-17
VX+VXT/X8,2018-11-21,2018-11-21
VX+VXT/Z8,2018-12-19,2018-12-19
VX+VXT01/F8,2018-01-03,2018-01-03
VX+VXT02/F8,2018-01-10,2018-01-10
VX+VXT04/F8,2018-01-24,2018-01-24
VX+VXT05/F8,2018-01-31,2018-01-31
VX+VXT06/G8,2018-02-07,2018-02-07
VX+VXT08/G8,2018-02-21,2018-02-21
VX+VXT09/G8,2018-02-27,2018-02-27
VX+VXT10/H8,2018-03-07,2018-03-07
VX+VXT11/H8,2018-03-14,2018-03-14
VX+VXT13/H8,2018-03-28,2018-03-28
VX+VXT14/J8,2018-04-04,2018-04-04
VX+VXT15/J8,2018-04-11,2018-04-11
VX+VXT17/J8,2018-04-25,2018-04-25
VX+VXT18/K8,2018-05-02,2018-05-02
VX+VXT19/K8,2018-05-09,2018-05-09
VX+VXT21/K8,2018-05-23,2018-05-23
VX+VXT22/K8,2018-05-30,2018-05-30
VX+VXT23/M8,2018-06-06,2018-06-06
VX+VXT24/M8,2018-06-13,2018-06-13
VX+VXT26/M8,2018-06-27,2018-06-27
VX+VXT27/N8,2018-07-03,2018-07-03
VX+VXT28/N8,2018-07-11,2018-07-11
VX+VXT30/N8,2018-07-25,2018-07-25
VX+VXT31/Q8,2018-08-01,2018-08-01
VX+VXT32/Q8,2018-08-08,2018-08-08
VX+VXT33/Q8,2018-08-15,2018-08-15
VX+VXT35/Q8,2018-08-29,2018-08-29
