Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily
CL=F,CL=F_30_60_80,MACD,-4.4940625,37.4503736634616,-38.715,23.5275,-0.872395833333333,719.158640896771,-792.25,789,6211,384
CL=F,CL=F_12_104_53,MACD,-5.54927083333333,70.2280364803386,-140.645,58.6975,29.3671875,1411.94195032502,-1000,1328.8,6054,384
CL=F,CL=F_25_86_16,MACD,-5.91208333333333,104.797459741377,-223.095,78.9425,74.625,1546.58995394374,-1814.8,1606.25,7086,384
CL=F,CL=F_10_86_80,MACD,-5.9125,95.7436216921882,-145.485,51.7075,15.9583333333333,1298.24654726137,-1179.6,1365,6293,384
CL=F,CL=F_25_104_35,MACD,-6.0409375,63.1354892788538,-107.7825,44.405,23.6484375,909.43231301498,-1025.85,1436.9,6228,384
CL=F,CL=F_30_86_53,MACD,-6.99354166666667,28.3387434620657,-42.305,31.9925,-2.0078125,557.695428114063,-742.25,714.1,5832,384
CL=F,CL=F_21_86_120,MACD,-7.51635416666667,28.2199858674213,-54.005,20.795,-40.3151041666667,293.549151089681,-562.55,455.249999999999,5680,384
CL=F,CL=F_17_86_80,MACD,-7.55354166666667,41.6448154093935,-76.2275,21.005,0.276041666666667,541.02146099039,-710.65,800.149999999997,6006,384
CL=F,CL=F_25_60_80,MACD,-7.73125,21.4313563315654,-48.7325,21.175,-44.0677083333333,542.845414670399,-875.2,652.85,6234,384
CL=F,CL=F_14_72_7,MACD,-7.80145833333333,60.7125981026771,-41.5075,38.52,-9.46354166666667,1240.40119582523,-1594.6,1801.7,10118,384
CL=F,CL=F_14_104_120,MACD,-8.61020833333333,25.1097167176444,-41.4025,34.78,-65.125,348.356177079811,-746.45,417.299999999999,5832,384
CL=F,CL=F_14_104_24,MACD,-8.75520833333333,160.187059008025,-301.5175,107.5425,108.677083333333,1136.41506313216,-1688.4,1422.85,6717,384
CL=F,CL=F_17_72_80,MACD,-8.774375,95.2115275065555,-107.43,56.995,35.1588541666667,839.077535433825,-836.95,1155.95,6143,384
CL=F,CL=F_14_50_35,MACD,-8.8525,59.0444952289551,-122.6725,73.0775,108.846354166667,887.667254029917,-1458.9,1547,7094,384
CL=F,CL=F_21_149_53,MACD,-9.93791666666667,21.541294244295,-55.205,15.8375,-47.3125,326.579010148313,-691.85,366.85,5912,384
CL=F,CL=F_25_86_80,MACD,-10.7425,17.1691222839142,-39.2625,22.76,-49.7734375,397.903905140439,-799.85,622.95,6191,384
CL=F,CL=F_25_124_24,MACD,-10.9203125,130.955031297032,-202.115,59.03,41.3072916666667,1041.94353913523,-893.95,1072.9,6294,384
CL=F,CL=F_14_86_120,MACD,-11.5501041666667,23.9036938565786,-54.465,19.26,-52.3671875,321.324198902641,-654.85,418.7,5716,384
CL=F,CL=F_17_104_120,MACD,-11.5878125,14.2869059818036,-39.1925,11.4125,-76.6015625,361.200782562722,-907.85,416.5,5821,384
CL=F,CL=F_10_104_7,MACD,-12.0128125,53.8461542526117,-64.4725,22.465,-94.9088541666667,2630.81087967591,-2263.3,1713.04999999999,9490,384
CL=F,CL=F_21_104_120,MACD,-12.2797916666667,14.2013540480563,-41.9925,4.0025,-82.4348958333333,271.694212484623,-656.15,309.2,5841,384
CL=F,CL=F_30_149_16,MACD,-12.9367708333333,178.596873871944,-340.7725,136.9425,152.479166666667,1133.93541454927,-1212.5,1472.5,6401,384
CL=F,CL=F_14_72_10,MACD,-13.2102083333333,83.6607650855106,-96.0975,41.145,29.625,925.010473442929,-1356.45,1739.3,8841,384
CL=F,CL=F_14_60_7,MACD,-13.9113541666667,118.269829294308,-34.64,25.19,14.3411458333333,1227.32050402822,-1623.3,1720.7,10393,384
CL=F,CL=F_30_124_10,MACD,-14.2570833333333,157.502476110305,-231.53,99.49,104.450520833333,1210.367325575,-1602.1,1534.35,6843,384
CL=F,CL=F_14_124_24,MACD,-15.9920833333333,105.035430512673,-221.175,71.335,35.1927083333333,1022.29752984586,-1338.9,1430.65,6649,384
CL=F,CL=F_21_104_35,MACD,-16.21125,107.162172550716,-247.9525,81.3175,69.5807291666667,1678.67851754508,-1294.45,1884.5,6276,384
CL=F,CL=F_10_104_53,MACD,-16.59125,101.324561362303,-232.4125,59.5975,34.2786458333333,1085.31805349637,-1462.35,1285.75,6131,384
CL=F,CL=F_12_104_35,MACD,-17.666875,252.317576146088,-558.805,154.775,121.768229166667,1733.70510920169,-1684.6,1946.9,6554,384
CL=F,CL=F_10_50_80,MACD,-17.8016666666667,235.361774912207,-532.6725,204.1475,124.505208333333,1649.69157176641,-2009.6,1778.45,6388,384
CL=F,CL=F_30_124_7,MACD,-17.9669791666667,102.978832716343,-193.725,41.985,18.8697916666667,734.343989743951,-1433.7,1139.7,7413,384
CL=F,CL=F_17_124_24,MACD,-21.0573958333333,217.48539541648,-412.61,223.1825,112.122395833333,1300.01639801608,-1605.45,1694.05,6412,384
CL=F,CL=F_12_72_10,MACD,-21.4370833333333,62.9358661348229,-78.015,11.72,-66.1796875,1297.74201836042,-1357.9,1108.3,8857,384
CL=F,CL=F_12_60_7,MACD,-21.6001041666667,68.5654919880838,-150.5125,9.2875,-93.5963541666667,1034.36945694431,-1204.35,692.799999999996,10231,384
CL=F,CL=F_10_86_24,MACD,-22.2747916666667,124.352572123138,-221.8425,64.0725,93.4010416666667,1429.76710499154,-2127.5,1790.6,7906,384
CL=F,CL=F_12_104_24,MACD,-23.8210416666667,189.549191379409,-344.1225,83.8125,123.466145833333,1300.23984889221,-1979.9,1921.9,6975,384
CL=F,CL=F_14_104_16,MACD,-26.0190625,98.9439678976054,-239.445,40.665,30.9609375,1056.59111503501,-1713.8,1330.9,7818,384
CL=F,CL=F_21_149_16,MACD,-26.7965625,185.591305103888,-353.8275,116.3675,143.059895833333,1642.167309259,-1560.65,2002.75,6664,384
CL=F,CL=F_14_104_35,MACD,-27.6647916666667,384.731992701903,-578.4825,125.7775,149.869791666667,2222.11898817839,-2227.55,2397.95,6234,384
CL=F,CL=F_14_124_35,MACD,-28.2082291666667,256.295038492318,-410.8325,77.25,38.859375,1050.81715859592,-1446.85,1372.2,6284,384
CL=F,CL=F_17_104_16,MACD,-28.8055208333333,156.916850746333,-324.56,55.195,54.9036458333333,918.182083222124,-1454.55,1325.3,7346,384
CL=F,CL=F_12_60_16,MACD,-29.3320833333333,164.68899122072,-132.655,44.9725,11.4427083333333,1984.24869652458,-2434.5,2254.5,8796,384
CL=F,CL=F_12_104_16,MACD,-31.6061458333333,175.049491698595,-327.83,82.3975,312.309895833333,14274.4436202861,-2638.4,2843.25,8094,384
CL=F,CL=F_25_149_16,MACD,-32.0398958333333,216.337192079474,-465.3575,118.0975,89.9817708333333,1447.57626807231,-1430.75,1865.4,6570,384
CL=F,CL=F_17_72_10,MACD,-32.1470833333333,166.073143130665,-79.505,13.9025,-50.8359375,1544.13554501161,-2029.1,1507.85,8278,384
CL=F,CL=F_17_124_16,MACD,-32.2597916666667,214.10176138305,-442.56,70.2325,80.0703125,1028.84615477089,-1871.35,1554,6815,384
CL=F,CL=F_10_104_16,MACD,-32.4664583333333,136.879476243878,-207.98,60.115,64.5989583333333,1141.80194292432,-2045.65,1716.45,7785,384
CL=F,CL=F_14_50_24,MACD,-32.8790625,117.352933415476,-173.1625,48.765,92.5833333333333,1423.37476311582,-2280,1810.3,7035,384
CL=F,CL=F_21_124_7,MACD,-41.2235416666667,246.588617631105,-548.5075,92.145,136.872395833333,2721.01665397223,-3468.8,2976.95,8095,384
CL=F,CL=F_25_124_10,MACD,-43.7895833333333,190.261616777457,-407.5225,55.81,84.8203125,1261.99778895418,-2028.8,1807.5,7070,384
CL=F,CL=F_21_124_10,MACD,-45.5115625,187.279457059444,-345.72,68.615,113.848958333333,891.667422163813,-1486.95,1391.7,7263,384
CL=F,CL=F_17_149_7,MACD,-50.704375,226.922571379999,-548.9825,82.1325,67.1067708333333,1698.20101605201,-2486,2352.9,8354,384
CL=F,CL=F_10_124_16,MACD,-50.9814583333333,216.079368239783,-492.93,89.91,80.2447916666667,2404.85265340064,-3278.8,2598.7,7561,384
CL=F,CL=F_10_86_16,MACD,-51.0976041666667,231.670496909749,-157.295,43.4875,-34.1979166666667,1271.50213683042,-1678.75,1479.19999999999,7179,384
CL=F,CL=F_17_149_16,MACD,-71.9336458333333,346.726348301608,-703.465,77.29,80.328125,1804.04906831215,-2025.25,1929.05,6968,384
EURUSD=X,EURUSD=X_14_60_16,MACD,-0.377708333333333,5.13590323715347,-8.7425,7.53,-4.73958333333333,137.753762590791,-225,236.8,8660,384
EURUSD=X,EURUSD=X_14_149_16,MACD,-0.60625,3.86607219416895,-7.38,5.56,15.5494791666667,175.857370552945,-317.25,360.65,7391,384
EURUSD=X,EURUSD=X_12_50_35,MACD,-0.6646875,4.83689068310037,-8.82,9.43,3.24739583333333,265.795439008837,-400.9,422.8,7548,384
EURUSD=X,EURUSD=X_14_149_24,MACD,-0.732291666666667,3.82598937439487,-8.57,3.82,11.5911458333333,150.322549723392,-286.85,270.65,6557,384
EURUSD=X,EURUSD=X_12_149_24,MACD,-0.7903125,3.60807441081075,-7.7,3.5575,6.55208333333333,175.257147575576,-340.7,316.05,7252,384
EURUSD=X,EURUSD=X_17_60_16,MACD,-0.988541666666667,4.48531286925313,-9.25,5.35,-13.8307291666667,161.108869645088,-296.75,275.85,8112,384
EURUSD=X,EURUSD=X_17_86_10,MACD,-1.4825,3.86503761811883,-8.81,3.31,-13.6015625,210.678203867936,-350,373.849999999999,8624,384
