Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily,RR
CL=F,CL=F_12_30_70,RSI,-2.51416666666667,3.03096139044274,-8.16,0.74,-104.236111111111,5217.9081358808,-4785.5,4885.69999999999,8024,144,-0.829494784920178
CL=F,CL=F_12_30_80,RSI,-5.38395833333333,5.87860373477983,-13.15,1.81,-92.0972222222222,1994.58092876444,-2751.55,2155.14999999999,5832,144,-0.915856651721563
EURUSD=X,EURUSD=X_21_10_80,RSI,9.335,6.40203890394768,3,15.67,25.7777777777778,52.0962590021606,0,182.999999999999,432,144,1.45812922102735
EURUSD=X,EURUSD=X_21_20_80,RSI,6.9,4.79016012702636,2.16,11.64,55.3333333333333,78.686418444052,0,256.25,1200,144,1.44045289030523
EURUSD=X,EURUSD=X_30_40_70,RSI,5.05708333333333,4.21134483919447,1.29,11.94,233.569444444444,341.915575658686,-148.75,990.95,6824,144,1.20082385233992
EURUSD=X,EURUSD=X_30_40_80,RSI,4.144375,3.41396625034733,1.13,9.95,136.111111111111,237.076161705698,-160,570.4,5668,144,1.2139472672228
EURUSD=X,EURUSD=X_62_40_70,RSI,3.73833333333333,3.47477250645725,-0.233,9.53,43.0277777777778,134.255155489265,-28.95,240.55,2507,144,1.0758498078324
EURUSD=X,EURUSD=X_62_40_80,RSI,3.73833333333333,3.47477250645725,-0.233,9.53,43.0277777777778,134.255155489265,-28.95,240.55,2507,144,1.0758498078324
EURUSD=X,EURUSD=X_17_20_80,RSI,3.075,2.14748739871962,0.95,5.2,39.8888888888889,57.9277475103593,0,209.65,1968,144,1.43190595755457
EURUSD=X,EURUSD=X_25_10_70,RSI,3.055,2.04866952154579,1.03,5.27,29.2777777777778,40.6510727104429,-9.4,134.5,1408,144,1.49121171954318
EURUSD=X,EURUSD=X_25_20_70,RSI,2.99708333333333,2.02090874685637,1,5.23,34.5,41.4954711489594,0,140.2,1696,144,1.48303743946651
EURUSD=X,EURUSD=X_12_20_80,RSI,2.92333333333333,2.09757644684398,0.86,5.33,104.027777777778,145.357718597488,-47.35,461.949999999999,5056,144,1.39367189106828
EURUSD=X,EURUSD=X_10_30_70,RSI,2.85020833333333,2.28701095419544,0.67,6.6,277.798611111111,409.693106698635,-97.85,1353.75,12984,144,1.24625915241234
EURUSD=X,EURUSD=X_10_30_60,RSI,2.75916666666667,2.17382869740782,0.6,6.14,461.513888888889,709.155155639995,-300,1885.95,17866,144,1.26926591315904
EURUSD=X,EURUSD=X_17_10_80,RSI,2.655,1.83420688408288,0.84,4.47,15.3333333333333,54.3287068832711,-34,194.649999999999,912,144,1.44749211391578
EURUSD=X,EURUSD=X_10_30_80,RSI,2.45166666666667,1.93739607362545,0.64,5.58,157.722222222222,194.740151216246,12,580,9758,144,1.26544422177901
EURUSD=X,EURUSD=X_14_20_60,RSI,2.28041666666667,1.62304279296678,0.64,4.69,118.208333333333,299.08770084576,-433.4,852.749999999998,8912,144,1.40502559547322
EURUSD=X,EURUSD=X_21_20_70,RSI,2.17916666666667,1.50182560300588,0.8,4.08,42.9444444444444,75.6960962659171,2,275.899999999999,2866,144,1.45101179677927
EURUSD=X,EURUSD=X_17_20_70,RSI,2.11625,1.45804244312621,0.69,3.81,40.1666666666667,108.561348709227,-214.4,289.749999999999,3652,144,1.45143237083176
EURUSD=X,EURUSD=X_30_40_60,RSI,1.96729166666667,1.740055929137,0.45,5.43,67.3472222222222,280.149668276774,-568.55,584.399999999998,9078,144,1.1305910538418
EURUSD=X,EURUSD=X_17_10_60,RSI,1.95166666666667,1.50034369584897,0.66,4.24,65.8472222222222,254.99730752574,-520.25,462,6599,144,1.30081305507956
EURUSD=X,EURUSD=X_25_30_70,RSI,1.865,1.2601148208406,0.63,3.46,50.6944444444445,97.8218215947177,-97.9,260,4042,144,1.48002385906064
EURUSD=X,EURUSD=X_17_30_60,RSI,1.85708333333333,1.41061320351437,0.62,4.12,87.3333333333333,255.078816833548,-369.1,492.35,10315,144,1.31650783411543
EURUSD=X,EURUSD=X_10_20_70,RSI,1.66875,1.27970845250168,0.38,3.82,94.3055555555556,211.281778435789,-401.45,383.4,10242,144,1.30400795332545
EURUSD=X,EURUSD=X_10_20_60,RSI,1.65875,1.26415159507044,0.35,3.49,176.652777777778,324.138628709385,-465.35,782.8,15172,144,1.31214484597282
EURUSD=X,EURUSD=X_14_10_60,RSI,1.63145833333333,1.13926439421632,0.47,3.45,57.7777777777778,235.454461454447,-433.4,594.199999999999,7372,144,1.43202784324317
EURUSD=X,EURUSD=X_17_30_80,RSI,1.56333333333333,1.06446537041967,0.43,3.04,31.2361111111111,82.522045040328,-126.15,221.5,4628,144,1.468655887525
EURUSD=X,EURUSD=X_17_10_70,RSI,1.51145833333333,1.03068246257152,0.53,2.79,15.8611111111111,81.8708355999481,-202.35,163.5,2596,144,1.46646361825377
EURUSD=X,EURUSD=X_12_10_80,RSI,1.5,1.13912246927185,0.45,3.57,22.7222222222222,47.9682943719835,-40.95,146.45,2652,144,1.31680310103867
EURUSD=X,EURUSD=X_17_30_70,RSI,1.426875,0.961313720462231,0.44,2.7,32.0277777777778,93.8479609924466,-152.95,220.05,6312,144,1.48429692578809
EURUSD=X,EURUSD=X_25_40_70,RSI,1.3275,0.852486975005009,0.38,2.79,54.4027777777778,199.293764247039,-284,435.649999999999,7678,144,1.55720854267855
