Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily,RR
CL=F,CL=F_10,ADX,-5.14858333333333,53.1880538510449,-101.077,36.311,-15.7854166666667,981.327205010739,-880.65,929.049999999998,17499,480,-0.0967996187217554
CL=F,CL=F_9,ADX,-19.4497916666667,70.9154077506558,-123.039,31.41,-76.2895833333333,537.370134329344,-833.6,581.899999999998,18833,480,-0.274267501007026
EURUSD=X,EURUSD=X_5,ADX,1.08516666666667,3.31830575899529,-3.3,9.02049999999999,-45.54375,134.255163853756,-290.2,121.2,34983,480,0.327024314659669
EURUSD=X,EURUSD=X_14,ADX,0.976916666666667,29.3444250383245,-44,71.36,-33.7270833333333,135.302763010675,-289.1,149.25,9835,480,0.0332913889227951
EURUSD=X,EURUSD=X_6,ADX,-0.72175,4.99650114609502,-10.5445,10.51,-61.5895833333333,131.127200415327,-285.55,106.4,28778,480,-0.144451082646919
EURUSD=X,EURUSD=X_15,ADX,-1.78116666666667,29.5316886799603,-52.67,56.075,-29.1208333333333,128.670031546173,-267.2,171.05,8832,480,-0.0603137425011301
USDPLN=X,USDPLN=X_6,ADX,22.207375,35.4786537181103,1.7365,109.964,136.135416666667,455.716779693473,-395.35,1008,28283,480,0.625936236939682
USDPLN=X,USDPLN=X_7,ADX,10.7769583333333,21.0166852503051,-5.9425,76.3104999999999,52.0020833333333,338.957159762579,-474.05,604.1,24410,480,0.512781069182967
^TYX,^TYX_10,ADX,-29.3329583333333,105.321615450817,-233.21,89.378,-22.6770833333333,583.441096822296,-965.65,790.55,11624,480,-0.278508435403093
