Symbol,Class,Methodology,Ndx,Trend_Strength,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
EURUSD=X,FX,ADX:,5,40,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_TRUE_FALSE_5_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,3,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_TRUE_TRUE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,3,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_TRUE_TRUE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,7,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_TRUE_TRUE_1_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,7,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_TRUE_TRUE_1_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,3,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_FALSE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,3,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_FALSE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Active,660,49.41,329,102,19.17,42,6,-18.73,-104,-86,-16.76,14,2,7,69,11.04,64,2.638,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_FALSE_5_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_FALSE_5_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,7,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_FALSE_1_0.1_7,EURUSD=X_5
