Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily
BTC-USD,BTC-USD_43_72,SMA2M,-47.3145833333333,145.154571535723,-384,141.655,120.635416666667,1690.78320181609,-2126.25,2729.5,3605,576
BTC-USD,BTC-USD_17_72,SMA2M,-59.9697916666667,140.214109155505,-313,94.4525,116.189236111111,1654.40499451209,-1892.75,2657.25,4521,576
BTC-USD,BTC-USD_43_50,SMA2M,-65.7978125,139.397829351092,-240.25,135.7275,147.350694444444,1546.02215247064,-1759.75,3059.25,4448,576
BTC-USD,BTC-USD_25_72,SMA2M,-74.661875,195.847648647253,-502,133.1575,136.322916666667,1812.31324000331,-2156.5,2808.25,4253,576
BTC-USD,BTC-USD_36_72,SMA2M,-79.0546875,183.199600091227,-403,164.5325,114.902777777778,1692.67633751254,-2113,2792.5,3614,576
BTC-USD,BTC-USD_21_86,SMA2M,-83.170625,184.202559081672,-465,113.33,132.809027777778,1571.61375329727,-1449.25,2536.25,4289,576
BTC-USD,BTC-USD_10_104,SMA2M,-101.462604166667,196.931111996287,-539,201,114.571180555556,1680.71655789071,-1365.5,1878.75,4322,576
BTC-USD,BTC-USD_10_124,SMA2M,-103.933854166667,159.904245882668,-341,119.155,109.569444444444,1308.31532246442,-1127.75,1967.5,4100,576
BTC-USD,BTC-USD_30_72,SMA2M,-107.384583333333,180.463648824889,-488,124.5775,123.222222222222,1753.41387239941,-2119,2805,4249,576
BTC-USD,BTC-USD_12_104,SMA2M,-124.698020833333,201.402893663526,-539,111.7925,109.413194444444,1673.15075422531,-1422.5,1828.5,4318,576
BTC-USD,BTC-USD_14_104,SMA2M,-144.946041666667,218.350459883956,-561,115.46,104.282986111111,1665.42283173831,-1308.75,1818.75,4320,576
CL=F,CL=F_14_72,SMA2M,28.3360416666667,183.833347633288,-207,404.25,-35.7586805555556,360.718899244748,-625,543,3060,576
CL=F,CL=F_17_72,SMA2M,22.88625,178.229796116374,-223.25,333.5,-36.9652777777778,356.847494659055,-633.5,535.5,3058,576
CL=F,CL=F_17_60,SMA2M,14.7420833333333,169.727347986591,-209,356.25,-40.7881944444444,316.156538441825,-667.25,577,3064,576
CL=F,CL=F_10_124,SMA2M,11.2546875,166.800376870413,-218.5,370,-42.2847222222222,302.623477653425,-625.75,462.25,2893,576
CL=F,CL=F_30_72,SMA2M,11.2546875,166.800376870413,-218.5,370,-38.5069444444444,373.904982052747,-633.75,553.25,2893,576
CL=F,CL=F_25_60,SMA2M,-3.23708333333333,136.786484642589,-206,212.5,-43.5920138888889,316.592936072323,-636.25,544,2970,576
CL=F,CL=F_12_124,SMA2M,-5.82041666666667,147.198206181266,-272,296,-44.6354166666667,291.902775468283,-640,484,2890,576
CL=F,CL=F_21_72,SMA2M,-6.06833333333333,134.954396029619,-211,202.25,-41.5659722222222,353.913645800179,-626,543,2969,576
CL=F,CL=F_12_72,SMA2M,-21.34125,126.454334384935,-216,128.5,-44.7274305555556,340.119979359195,-618.75,527,3074,576
CL=F,CL=F_10_72,SMA2M,-26.053125,118.965588782396,-222.5,130,-45.4392361111111,347.630803341366,-615,526.25,3076,576
CL=F,CL=F_25_72,SMA2M,-28.2244791666667,139.455496307074,-212,202.25,-47.2552083333333,339.090249585756,-586.75,522.25,2982,576
CL=F,CL=F_43_60,SMA2M,-30.7590625,117.465839379869,-213.75,127.75,-48.2204861111111,311.632869277892,-620.25,537.5,2940,576
CL=F,CL=F_25_124,SMA2M,-42.5872916666667,125.42194755875,-251,138,-50.4878472222222,323.260782906149,-619,483,2779,576
CL=F,CL=F_21_124,SMA2M,-43.5197916666667,126.295897887121,-254,192,-50.7152777777778,323.127847374367,-614.25,481.5,2778,576
CL=F,CL=F_36_72,SMA2M,-46.1684375,101.281376823269,-214,62.5,-48.7604166666667,330.824411426443,-632,512.75,2950,576
CL=F,CL=F_36_124,SMA2M,-50.33125,145.872659025098,-379,176,-50.3802083333333,308.482681451382,-630.75,481.75,2757,576
CL=F,CL=F_10_149,SMA2M,-50.7882291666667,124.468229376816,-279,122,-48.6371527777778,222.45755106529,-446.5,307.25,2810,576
CL=F,CL=F_14_124,SMA2M,-50.7882291666667,124.468229376816,-279,122,-52.5243055555556,304.144810074361,-602,472.5,2810,576
CL=F,CL=F_17_124,SMA2M,-54.2571875,106.810160818678,-275,62.5,-52.6649305555556,284.518529484758,-609,475.25,2800,576
CL=F,CL=F_43_72,SMA2M,-65.3202083333333,85.5162206956166,-223,21.845,-50.6510416666667,425.610470734583,-640.5,552,2830,576
CL=F,CL=F_43_215,SMA2M,-65.4373958333333,112.943461200212,-319,102,-48.3871527777778,291.38771620712,-491.75,274,2605,576
CL=F,CL=F_25_215,SMA2M,-66.0345833333333,79.8313315608097,-170,12.1525,-52.1927083333333,267.080999305861,-541.5,215.25,2354,576
CL=F,CL=F_36_215,SMA2M,-69.485625,70.7487735703632,-170,12.025,-49.8385416666667,271.908763420747,-486.5,255.25,2627,576
CL=F,CL=F_43_179,SMA2M,-69.485625,70.7487735703632,-170,12.025,-42.8246527777778,336.362923278415,-530.75,317,2627,576
CL=F,CL=F_30_124,SMA2M,-80.225,110.075241319649,-252,4.07,-57.4184027777778,283.046255752539,-618.25,459.25,2787,576
CL=F,CL=F_12_179,SMA2M,-81.4413541666667,84.6361225808186,-254,2.5225,-51.9826388888889,267.738223307407,-500.75,274.5,2700,576
CL=F,CL=F_17_149,SMA2M,-84.863125,83.7723682155839,-254,2.53,-52.4618055555556,243.676304033328,-451,322,2692,576
CL=F,CL=F_14_149,SMA2M,-85.3423958333333,88.9213904139321,-275,2.3325,-53.7743055555556,218.416501445895,-442.75,311.25,2716,576
CL=F,CL=F_12_149,SMA2M,-88.5152083333333,90.1504647619647,-233,2.2725,-54.6180555555556,217.622097552145,-439.25,307.25,2716,576
CL=F,CL=F_43_124,SMA2M,-91.690625,106.182284733303,-364,4.94,-55.0572916666667,404.937214906588,-691.75,534,2640,576
CL=F,CL=F_21_149,SMA2M,-94.3044791666667,112.239680410598,-251,2.55,-53.8663194444445,231.177239388901,-479,322.25,2690,576
CL=F,CL=F_21_215,SMA2M,-94.365625,121.679289746815,-374,9.965,-57.7274305555556,247.625833472152,-530.5,196.5,2373,576
