Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,SMA1: 10 EMA,Active,-6.973,11.978,-0.582,75.947,845,4.06,2213,2263,0.2404,0.2455,0.4859,13850
EURUSD=X,FX,SMA1: 10 EMA,Passive,-0.823,11.535,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43172
EURUSD=X,FX,SMA1: 10 SMA,Active,-6.622,11.978,-0.553,75.676,755,3.63,2205,2271,0.2395,0.2466,0.4861,14806
EURUSD=X,FX,SMA1: 10 SMA,Passive,-0.823,11.535,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43172
EURUSD=X,FX,SMA1: 20 EMA,Active,-6.274,11.99,-0.523,71.76,614,2.97,2208,2258,0.2409,0.2465,0.4875,15857
EURUSD=X,FX,SMA1: 20 EMA,Passive,-0.861,11.546,-0.075,37.808,1,0,1,0,0.4982,0,0.4982,42896
EURUSD=X,FX,SMA1: 20 SMA,Active,-3.715,11.677,-0.318,58.303,554,2.68,2210,2256,0.2407,0.2459,0.4866,25562
EURUSD=X,FX,SMA1: 20 SMA,Passive,-0.861,11.546,-0.075,37.808,1,0,1,0,0.4982,0,0.4982,42896
EURUSD=X,FX,SMA1: 30 EMA,Active,-4.378,11.986,-0.365,61.512,490,2.37,2176,2280,0.239,0.2513,0.4904,22658
EURUSD=X,FX,SMA1: 30 EMA,Passive,-0.913,11.555,-0.079,37.809,1,0,1,0,0.4982,0,0.4982,42516
EURUSD=X,FX,SMA1: 30 SMA,Active,-4.665,12,-0.389,64.807,450,2.17,2171,2285,0.2372,0.2504,0.4877,21483
EURUSD=X,FX,SMA1: 30 SMA,Passive,-0.913,11.555,-0.079,37.809,1,0,1,0,0.4982,0,0.4982,42516
EURUSD=X,FX,SMA1: 40 EMA,Active,-3.892,11.999,-0.324,57.612,420,2.04,2178,2268,0.2416,0.2519,0.4935,24819
EURUSD=X,FX,SMA1: 40 EMA,Passive,-0.953,11.567,-0.082,37.809,1,0,1,0,0.4982,0,0.4982,42230
EURUSD=X,FX,SMA1: 40 SMA,Active,-2.648,11.999,-0.221,52.409,354,1.72,2169,2277,0.2407,0.253,0.4937,31141
EURUSD=X,FX,SMA1: 40 SMA,Passive,-0.953,11.567,-0.082,37.809,1,0,1,0,0.4982,0,0.4982,42230
EURUSD=X,FX,SMA1: 50 EMA,Active,-3.259,12.01,-0.271,56.869,370,1.8,2176,2260,0.2428,0.2527,0.4955,27904
EURUSD=X,FX,SMA1: 50 EMA,Passive,-0.957,11.577,-0.083,37.808,1,0,1,0,0.4982,0,0.4982,42210
EURUSD=X,FX,SMA1: 50 SMA,Active,-3.962,12.009,-0.33,60.092,334,1.62,2156,2280,0.2387,0.2532,0.4919,24541
EURUSD=X,FX,SMA1: 50 SMA,Passive,-0.957,11.577,-0.083,37.808,1,0,1,0,0.4982,0,0.4982,42210
EURUSD=X,FX,SMA1: 60 EMA,Active,-3.879,12.021,-0.323,63.4,348,1.69,2188,2238,0.2445,0.2508,0.4953,24955
EURUSD=X,FX,SMA1: 60 EMA,Passive,-0.994,11.587,-0.086,37.809,1,0,1,0,0.498,0,0.498,41956
EURUSD=X,FX,SMA1: 60 SMA,Active,-3.667,12.019,-0.305,59.295,322,1.56,2168,2258,0.2415,0.2521,0.4937,25942
EURUSD=X,FX,SMA1: 60 SMA,Passive,-0.994,11.587,-0.086,37.809,1,0,1,0,0.498,0,0.498,41956
EURUSD=X,FX,SMA1: 70 EMA,Active,-4.038,12.04,-0.335,63.974,312,1.52,2179,2237,0.2448,0.2525,0.4973,24282
EURUSD=X,FX,SMA1: 70 EMA,Passive,-1.049,11.598,-0.09,37.808,1,0,1,0,0.4975,0,0.4975,41565
EURUSD=X,FX,SMA1: 70 SMA,Active,-3.71,12.032,-0.308,55.708,290,1.41,2157,2259,0.2421,0.2545,0.4966,25778
EURUSD=X,FX,SMA1: 70 SMA,Passive,-1.049,11.598,-0.09,37.808,1,0,1,0,0.4975,0,0.4975,41565
EURUSD=X,FX,SMA1: 80 EMA,Active,-4.356,12.052,-0.361,64.509,294,1.43,2159,2247,0.2429,0.2547,0.4975,22950
