Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
^N100,Equities,Random: 0.2,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.3,Active,5.101,20.01,0.255,47.794,2215,10.65,2208,2215,0.2672,0.2374,0.5046,119725
^N100,Equities,Random: 0.3,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.4,Active,-9.711,19.534,-0.497,85.078,2228,10.71,2160,2263,0.2512,0.232,0.4832,8324
^N100,Equities,Random: 0.4,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.5,Active,13.071,20.003,0.653,42.082,2223,10.69,2247,2176,0.2747,0.2358,0.5105,431869
^N100,Equities,Random: 0.5,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.6,Active,0,20.003,0,46.83,2167,10.42,2218,2205,0.2632,0.2311,0.4942,50004
^N100,Equities,Random: 0.6,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.7,Active,-0.424,19.805,-0.021,82.735,2212,10.63,2266,2157,0.2758,0.2329,0.5087,46404
^N100,Equities,Random: 0.7,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.8,Active,-10.344,19.617,-0.527,89.367,2172,10.44,2161,2262,0.2544,0.2351,0.4895,7356
^N100,Equities,Random: 0.8,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
^N100,Equities,Random: 0.9,Active,-0.234,19.886,-0.012,62.973,2165,10.41,2226,2197,0.2629,0.229,0.492,47990
^N100,Equities,Random: 0.9,Passive,2.58,20.058,0.129,58.864,1,0,1,0,0.53,0,0.53,78189
EPOL,Equities,Random: 0.1,Active,0.392,28.643,0.014,62.942,1739,10.35,1713,1785,0.2501,0.2461,0.4963,52790
EPOL,Equities,Random: 0.1,Passive,-0.302,28.798,-0.01,71.57,1,0,1,0,0.5074,0,0.5074,47944
EPOL,Equities,Random: 0.2,Active,-12.172,28.703,-0.424,93.543,1752,10.43,1786,1712,0.259,0.2347,0.4937,8251
EPOL,Equities,Random: 0.2,Passive,-0.302,28.798,-0.01,71.57,1,0,1,0,0.5074,0,0.5074,47944
EPOL,Equities,Random: 0.3,Active,-7.314,28.576,-0.256,74.724,1749,10.41,1759,1739,0.2553,0.239,0.4943,17421
EPOL,Equities,Random: 0.3,Passive,-0.302,28.798,-0.01,71.57,1,0,1,0,0.5074,0,0.5074,47944
EPOL,Equities,Random: 0.4,Active,-8.481,28.649,-0.296,88.388,1716,10.21,1781,1717,0.2561,0.2361,0.4923,14613
EPOL,Equities,Random: 0.4,Passive,-0.302,28.798,-0.01,71.57,1,0,1,0,0.5074,0,0.5074,47944
EPOL,Equities,Random: 0.5,Active,5.919,28.606,0.207,54.926,1752,10.43,1754,1744,0.2587,0.2456,0.5043,111079
EPOL,Equities,Random: 0.5,Passive,-0.302,28.798,-0.01,71.57,1,0,1,0,0.5074,0,0.5074,47944
