Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
ETH-USD,Cryptocurrency,SMA1M: 40 SMA,Passive,20.248,74.369,0.272,93.803,1,0,1,0,0.5095,0,0.5095,271820
ETH-USD,Cryptocurrency,SMA1M: 50 EMA,Active,48.474,72.767,0.666,70.873,66,0.86,1218,1086,0.2791,0.2409,0.52,1854996
ETH-USD,Cryptocurrency,SMA1M: 50 EMA,Passive,21.546,74.163,0.291,93.761,1,0,1,0,0.5095,0,0.5095,297664
ETH-USD,Cryptocurrency,SMA1M: 50 SMA,Active,33.19,72.998,0.455,70.689,72,0.94,1212,1092,0.2743,0.2387,0.513,687055
ETH-USD,Cryptocurrency,SMA1M: 50 SMA,Passive,21.546,74.163,0.291,93.761,1,0,1,0,0.5095,0,0.5095,297664
ETH-USD,Cryptocurrency,SMA1M: 60 EMA,Active,13.405,72.37,0.185,79.732,62,0.82,1220,1072,0.2777,0.2371,0.5148,157143
ETH-USD,Cryptocurrency,SMA1M: 60 EMA,Passive,14.565,73.489,0.198,93.616,1,0,1,0,0.5078,0,0.5078,172392
ETH-USD,Cryptocurrency,SMA1M: 60 SMA,Active,20.562,72.418,0.284,69.622,64,0.84,1259,1033,0.286,0.2284,0.5144,274318
ETH-USD,Cryptocurrency,SMA1M: 60 SMA,Passive,14.565,73.489,0.198,93.616,1,0,1,0,0.5078,0,0.5078,172392
ETH-USD,Cryptocurrency,SMA1M: 70 EMA,Active,11.035,72.09,0.153,81.787,64,0.84,1242,1042,0.2837,0.2316,0.5153,129117
ETH-USD,Cryptocurrency,SMA1M: 70 EMA,Passive,17.764,73.374,0.242,92.863,1,0,1,0,0.5083,0,0.5083,220077
ETH-USD,Cryptocurrency,SMA1M: 70 SMA,Active,-7.246,71.931,-0.101,89.853,58,0.76,1253,1031,0.2846,0.2277,0.5123,25287
ETH-USD,Cryptocurrency,SMA1M: 70 SMA,Passive,17.764,73.374,0.242,92.863,1,0,1,0,0.5083,0,0.5083,220077
ETH-USD,Cryptocurrency,SMA1M: 80 EMA,Active,13.814,71.979,0.192,86.798,58,0.76,1241,1032,0.2858,0.2309,0.5167,160722
ETH-USD,Cryptocurrency,SMA1M: 80 EMA,Passive,15.899,73.134,0.217,92.388,1,0,1,0,0.5088,0,0.5088,189327
ETH-USD,Cryptocurrency,SMA1M: 80 SMA,Active,-1.652,72.364,-0.023,88.317,60,0.79,1268,1005,0.2894,0.2225,0.5119,43023
ETH-USD,Cryptocurrency,SMA1M: 80 SMA,Passive,15.899,73.134,0.217,92.388,1,0,1,0,0.5088,0,0.5088,189327
ETH-USD,Cryptocurrency,SMA1M: 90 EMA,Active,18.295,71.302,0.257,87.938,51,0.68,1226,1038,0.2845,0.2341,0.5186,226209
ETH-USD,Cryptocurrency,SMA1M: 90 EMA,Passive,20.735,72.516,0.286,91.127,1,0,1,0,0.5093,0,0.5093,271748
ETH-USD,Cryptocurrency,SMA1M: 90 SMA,Active,11.449,72.216,0.159,86.839,49,0.65,1271,993,0.2924,0.2222,0.5146,132407
ETH-USD,Cryptocurrency,SMA1M: 90 SMA,Passive,20.735,72.516,0.286,91.127,1,0,1,0,0.5093,0,0.5093,271748
ETH-USD,Cryptocurrency,SMA1M: 100 EMA,Active,1.205,71.89,0.017,90.966,47,0.63,1198,1056,0.2795,0.2396,0.5191,55653
ETH-USD,Cryptocurrency,SMA1M: 100 EMA,Passive,18.768,72.422,0.259,90.878,1,0,1,0,0.5089,0,0.5089,232863
ETH-USD,Cryptocurrency,SMA1M: 100 SMA,Active,14.354,72.204,0.199,87.739,41,0.55,1244,1010,0.2888,0.2285,0.5173,165963
ETH-USD,Cryptocurrency,SMA1M: 100 SMA,Passive,18.768,72.422,0.259,90.878,1,0,1,0,0.5089,0,0.5089,232863
