Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
000001.SS,Equities,eGARCH : 126 21 expanding snorm close,Active,-5.781,22.268,-0.26,68.229,389,1.98,2987,961,0.3931,0.1175,0.5106,19669
000001.SS,Equities,eGARCH : 126 21 expanding snorm close,Passive,-3.253,21.955,-0.148,65.6,1,0,1,0,0.5193,0,0.5193,29781
000001.SS,Equities,eGARCH : 252 21 moving snorm close,Active,6.007,20.518,0.293,45.461,285,1.56,2896,800,0.415,0.1063,0.5214,117631
000001.SS,Equities,eGARCH : 252 21 moving snorm close,Passive,2.325,20.607,0.113,52.511,1,0,1,0,0.5252,0,0.5252,70047
000001.SS,Equities,eGARCH : 252 21 expanding snorm close,Active,5.13,20.477,0.251,43.284,279,1.52,2902,794,0.4145,0.1042,0.5187,104137
000001.SS,Equities,eGARCH : 252 21 expanding snorm close,Passive,2.325,20.607,0.113,52.511,1,0,1,0,0.5252,0,0.5252,70047
AGG,Fixed Income,sGARCH : 126 21 moving snorm close,Active,-0.469,5.595,-0.084,22.896,160,0.82,2865,1237,0.3567,0.1382,0.4949,46319
AGG,Fixed Income,sGARCH : 126 21 moving snorm close,Passive,-0.383,5.619,-0.068,23.324,1,0,1,0,0.5171,0,0.5171,46975
AGG,Fixed Income,sGARCH : 126 21 expanding snorm close,Active,-0.781,5.596,-0.14,23.276,186,0.95,2822,1280,0.3506,0.1421,0.4927,44011
AGG,Fixed Income,sGARCH : 126 21 expanding snorm close,Passive,-0.383,5.619,-0.068,23.324,1,0,1,0,0.5171,0,0.5171,46975
AGG,Fixed Income,sGARCH : 252 21 moving snorm close,Active,1.123,4.87,0.231,12.7,136,0.74,2841,1009,0.3818,0.1249,0.5068,59301
AGG,Fixed Income,sGARCH : 252 21 moving snorm close,Passive,-0.527,4.882,-0.108,23.334,1,0,1,0,0.5161,0,0.5161,46124
AGG,Fixed Income,sGARCH : 252 21 expanding snorm close,Active,1.495,4.87,0.307,12.804,118,0.64,2826,1024,0.38,0.1275,0.5075,62728
AGG,Fixed Income,sGARCH : 252 21 expanding snorm close,Passive,-0.527,4.882,-0.108,23.334,1,0,1,0,0.5161,0,0.5161,46124
AGG,Fixed Income,eGARCH : 126 21 moving snorm close,Active,1.276,5.598,0.228,16.54,400,2.04,2969,1133,0.3752,0.1302,0.5054,61460
AGG,Fixed Income,eGARCH : 126 21 moving snorm close,Passive,-0.383,5.619,-0.068,23.324,1,0,1,0,0.5171,0,0.5171,46975
AGG,Fixed Income,eGARCH : 126 21 expanding snorm close,Active,0.184,5.599,0.033,19.67,411,2.1,2955,1147,0.371,0.1297,0.5007,51521
AGG,Fixed Income,eGARCH : 126 21 expanding snorm close,Passive,-0.383,5.619,-0.068,23.324,1,0,1,0,0.5171,0,0.5171,46975
AGG,Fixed Income,eGARCH : 252 21 moving snorm close,Active,0.919,4.863,0.189,12.67,300,1.63,2820,1030,0.3784,0.1262,0.5047,57503
AGG,Fixed Income,eGARCH : 252 21 moving snorm close,Passive,-0.527,4.882,-0.108,23.334,1,0,1,0,0.5161,0,0.5161,46124
AGG,Fixed Income,eGARCH : 252 21 expanding snorm close,Active,0.668,4.864,0.137,13.062,306,1.66,2833,1017,0.379,0.1242,0.5031,55353
AGG,Fixed Income,eGARCH : 252 21 expanding snorm close,Passive,-0.527,4.882,-0.108,23.334,1,0,1,0,0.5161,0,0.5161,46124
GC=F,Commodities,sGARCH : 126 21 moving snorm close,Active,-2.159,17.596,-0.123,63.113,104,0.53,3002,1069,0.3861,0.1248,0.5109,35142
GC=F,Commodities,sGARCH : 126 21 moving snorm close,Passive,5.952,17.682,0.337,43.376,1,0,1,0,0.5227,0,0.5227,127233
GC=F,Commodities,sGARCH : 126 21 expanding snorm close,Active,-3.758,17.472,-0.215,67.855,104,0.53,3001,1070,0.3847,0.1238,0.5085,26931
GC=F,Commodities,sGARCH : 126 21 expanding snorm close,Passive,5.952,17.682,0.337,43.376,1,0,1,0,0.5227,0,0.5227,127233
GC=F,Commodities,sGARCH : 252 21 moving snorm close,Active,5.544,16.313,0.34,52.248,112,0.61,2994,851,0.4138,0.1092,0.523,113898
GC=F,Commodities,sGARCH : 252 21 moving snorm close,Passive,6.721,16.312,0.412,43.682,1,0,1,0,0.5246,0,0.5246,134899
GC=F,Commodities,sGARCH : 252 21 expanding snorm close,Active,6.154,16.312,0.377,49.257,118,0.64,2995,850,0.414,0.1092,0.5233,124375
GC=F,Commodities,sGARCH : 252 21 expanding snorm close,Passive,6.721,16.312,0.412,43.682,1,0,1,0,0.5246,0,0.5246,134899
GC=F,Commodities,eGARCH : 126 21 moving snorm close,Active,3.945,17.633,0.224,42.101,365,1.87,2954,1117,0.3896,0.14,0.5296,93418
GC=F,Commodities,eGARCH : 126 21 moving snorm close,Passive,5.952,17.682,0.337,43.376,1,0,1,0,0.5227,0,0.5227,127233
